hospital,shap_mean_sv,Thrombolysis,shap_mean_me
CNBGF2713O,1.338743,0.48026315789473684,1.3510945
GKONI0110I,1.0850077,0.38915318744053284,1.1108407
NTPQZ0829K,0.9179561,0.3496027241770715,1.006841
MHMYL4920B,0.93329954,0.473792394655704,0.9649722
HPWIF9956L,0.9010274,0.48756218905472637,0.9567282
TPXYE0168D,0.6535231,0.31588785046728973,0.9219553
QWKRA8499D,0.836396,0.37919463087248323,0.8484817
KZKEZ2257Z,0.8001292,0.388468809073724,0.83501965
HBFCN1575G,0.8716612,0.40536512667660207,0.83066726
VKKDD9172T,0.8567934,0.2846946867565424,0.81729096
IAZKG9244A,0.81896496,0.3807588075880759,0.80119544
XKAWN3771U,0.7846,0.36836403033586135,0.77845347
XDAFB7350M,0.62185997,0.3064894448788116,0.67555135
PDNWI2057P,0.6419585,0.3958333333333333,0.67305803
QQUVD2066Z,0.62963897,0.4563758389261745,0.6251443
BQZGT7491V,0.5395364,0.425,0.62503624
SMVTP6284P,0.60667783,0.36087484811664644,0.616175
DLNBB9786K,0.51570827,0.4076782449725777,0.5863683
EQPWM6065O,0.48309076,0.31308810949529514,0.5526363
GLRVJ5773V,0.49061185,0.3207729468599034,0.514925
RGJWU8840Q,0.44334096,0.3467455621301775,0.5088377
UWCEW6851O,0.408933,0.28298887122416533,0.50714546
PAOUI8935Z,0.61419463,0.365,0.5036911
YQMZV4284N,0.38853377,0.23617021276595745,0.5031835
QZMCK3259S,0.42249078,0.2922636103151863,0.5027116
GWOXR9160G,0.4559703,0.3323442136498516,0.46661204
XIGJJ1201J,0.41672224,0.34048257372654156,0.45475316
AKCGO9726K,0.52050126,0.3697478991596639,0.45402804
OHGIK1804X,0.449012,0.23690773067331672,0.4406264
NGKDE7265L,0.46465614,0.3924466338259442,0.42626333
OYASQ1316D,0.3360604,0.31605562579013907,0.42358398
VZOCK3505U,0.2735188,0.2554002541296061,0.3890824
QOAPO4699N,0.35180023,0.39684106614017767,0.35141006
TPFFP4410O,0.23685095,0.3359580052493438,0.33185586
XWUBX0795L,0.3045183,0.3415730337078652,0.32948285
JINXD0311F,0.35495794,0.3681917211328976,0.32417947
UALFR2142B,0.19445239,0.2676973148901546,0.3174887
HZNVT9936G,0.03782336,0.2702265372168285,0.26285833
ATDID5461S,0.18261005,0.2403846153846154,0.21243988
VKHPY9501A,0.24608971,0.3399014778325123,0.20459014
UJETD9177J,0.21603256,0.38219895287958117,0.1876773
LZGVG8257A,0.1643595,0.2708803611738149,0.1683599
FYFMU3598G,0.14380729,0.3165938864628821,0.16778047
TBZOA3799I,0.124503456,0.2981651376146789,0.15422827
ZHCLE1578P,0.13961273,0.22363945578231292,0.14255759
WSFVN0229E,0.10998349,0.2529411764705882,0.11990749
OFKDF3720W,0.19018297,0.22849462365591397,0.11750952
TQQYU0036V,0.13156724,0.3897196261682243,0.11211909
ROOIZ9592Y,0.10375717,0.30736842105263157,0.10265013
EQZZZ5658G,0.08646739,0.2878228782287823,0.09305346
TXYJJ1019H,0.0579813,0.27594627594627597,0.08465483
UMYTD3128E,0.05713918,0.3126934984520124,0.077301584
CYVHC2532V,0.12801015,0.21629213483146068,0.06555614
AGNOF1041H,-0.026516464,0.35246842709529275,0.05558438
LUVFZ2751A,0.04755372,0.2986577181208054,0.051961035
REVJR6326T,0.07821689,0.3370288248337029,0.04474497
JHDQL1362V,0.010272198,0.29279700654817586,0.040765896
DNOYM6465G,0.04035646,0.3833157338965153,0.038260005
SJVFI6669M,0.056149032,0.2979242979242979,0.0009259858
PSNKC7508G,-0.004237283,0.3190376569037657,0.00020022158
QTELJ8888W,0.0,0.3364485981308411,0.0
HONZP0443O,0.0,0.2642857142857143,0.0
APXEE8191H,0.0,0.2264808362369338,0.0
JXJYG0100P,0.0,0.23333333333333334,0.0
BXXZS5063A,0.020596644,0.2485294117647059,-0.039882615
PAYNN3649Z,-0.02350572,0.2778523489932886,-0.04519776
FWHZZ0143J,-0.08377696,0.21476510067114093,-0.053968523
WSNTP4114A,-0.035007294,0.2822966507177033,-0.055478726
LLPWF6176Z,-0.06504341,0.32107843137254904,-0.055987544
FCCJC8768V,-0.06673399,0.20802377414561665,-0.06970984
UIWEN7236N,-0.11040412,0.2922636103151863,-0.09408087
TMQMS4307W,-0.097747535,0.2692307692307692,-0.09602411
ITFRR7678Y,-0.06552099,0.32490272373540857,-0.096812546
HGGNH9018F,-0.12693971,0.2418478260869565,-0.1035871
SBRDX1922J,-0.06030294,0.31634819532908703,-0.10605916
OQYTM8444L,-0.09825445,0.36401673640167365,-0.11346152
VUHVS8909F,-0.08845529,0.2285336856010568,-0.12543543
FLVXS2956M,-0.076161884,0.31629392971246006,-0.13183182
TXHRP7672C,-0.13747141,0.2725118483412322,-0.16167128
QNARI2373R,-0.11064921,0.23376623376623376,-0.18199755
CQAAX8797Z,-0.1993572,0.3213166144200627,-0.18566202
KECZG3964M,0.057074275,0.3633916554508748,-0.19082403
HREGJ0143U,-0.22503224,0.3747779751332149,-0.2096602
QOGNY5824N,-0.23265041,0.2687224669603524,-0.21740024
WJHSV5358P,-0.06245345,0.2332657200811359,-0.22103795
NZECY6641V,-0.20462805,0.2457627118644068,-0.22195321
YPKYH1768F,-0.16669564,0.24605678233438485,-0.22592625
GRCGI3873D,-0.23899889,0.29404466501240695,-0.2293919
WTBXP2683L,-0.25439203,0.26642771804062126,-0.24617124
SBYTE4026H,-0.21787488,0.30754352030947774,-0.24805638
FPTBM7594G,-0.26347306,0.321580547112462,-0.26253238
FAJKD7118X,-0.25981882,0.27575757575757576,-0.26504302
DZJVD1372Z,-0.2208758,0.24114441416893734,-0.289354
IWINL6248B,-0.26143414,0.18115942028985507,-0.29174137
TFSJP6914B,-0.27791065,0.31902985074626866,-0.31363836
VZZSN1825O,-0.42974848,0.22381930184804927,-0.32987753
YEXCH8391J,-0.27531725,0.22818791946308725,-0.3403645
OKVRY7006H,-0.3189799,0.2375,-0.3427821
IDHVL2894N,-0.36868858,0.28322981366459626,-0.34391803
VVDIY0129H,-0.39008683,0.19230769230769232,-0.34546885
WKDIW7014B,-0.45987222,0.1986455981941309,-0.34827653
JRXDG8181O,-0.31497785,0.26229508196721313,-0.37403762
AOBTM3098N,-0.40154943,0.2188034188034188,-0.3907716
LFZMO6561M,-0.36870933,0.2513812154696133,-0.40460742
JADBS8258F,-0.4288249,0.3687002652519894,-0.4173601
NZNML2841Q,-0.42847294,0.2153846153846154,-0.43794495
RDVPJ0375X,-0.3224973,0.24313725490196078,-0.44352368
XQAGA4299B,-0.5086885,0.2185792349726776,-0.4516716
XDFKW2704K,-0.46522674,0.2355848434925865,-0.45513198
DANAH4615Q,-0.45404732,0.2560083594566353,-0.46029237
BICAW1125K,-0.43076777,0.31226053639846746,-0.4750988
ISIZF6614O,-0.5012346,0.24782608695652175,-0.49941468
ZRRCV7012C,-0.4842172,0.15767045454545456,-0.49982288
NFBUF0424E,-0.41269076,0.24064171122994651,-0.51368153
HYNBH3271L,-0.62307715,0.2400932400932401,-0.5328865
SQGXB9559U,-0.5552849,0.2422062350119904,-0.59165287
ZBVSO0975W,-0.5730691,0.25,-0.6035211
ISXKM9668U,-0.6596039,0.09361702127659574,-0.65988535
IATJE0497S,-0.81364864,0.21657250470809794,-0.68626636
DQKFO8183I,-0.75916046,0.2686084142394822,-0.70723945
IYJHY1440E,-0.8263232,0.2131630648330059,-0.73567075
BBXPQ0212O,-0.86725783,0.16544117647058823,-0.7772056
OUXUZ1084Q,-0.76593477,0.21098265895953758,-0.78588605
IUMNL9626U,-0.84736586,0.18575063613231552,-0.8142815
LZAYM7611L,-0.8132247,0.12195121951219512,-0.8372015
TKRKH4920C,-0.94986117,0.12899543378995434,-0.84398496
HYCCK3082L,-1.02137,0.1489841986455982,-0.88682634
XPABC1435F,-1.196876,0.21686746987951808,-0.94163
LGNPK4211W,-1.0691789,0.22718052738336714,-1.0504242
LECHF1024T,-1.0972674,0.20430107526881722,-1.0689849
LFPMM4706C,-1.2714834,0.0625,-1.1486814
HZMLX7970T,-1.1985071,0.19428571428571428,-1.2389146
