,Thrombolysis rate,mean SHAP value,mean SHAP main effect
VKKDD9172T,0.4527,1.3216572640055784,1.1158621
GKONI0110I,0.4132,0.869632581449388,1.0150912
HPWIF9956L,0.4131,1.1045355546233844,1.0094494
CNBGF2713O,0.4093,1.0297751958447932,1.2699286
TPXYE0168D,0.3962,0.8528341909262659,0.87056
NTPQZ0829K,0.3923,0.8718996723514086,0.918475
MHMYL4920B,0.3894,0.7748935527718505,0.83968437
QWKRA8499D,0.3882,0.8620184743120158,0.8544124
XDAFB7350M,0.3867,0.5158360734791169,0.7994714
HBFCN1575G,0.3811,0.7570032546464167,0.7394702
IAZKG9244A,0.3757,0.8935126698653693,0.8508203
QQUVD2066Z,0.3673,0.5446247737068457,0.65135735
SMVTP6284P,0.3634,0.3931898083748231,0.6079957
XKAWN3771U,0.3613,0.6395990269572678,0.7168216
KZKEZ2257Z,0.3607,0.4617580240072937,0.7851218
EQPWM6065O,0.3536,0.5232887097181147,0.5328366
PDNWI2057P,0.3466,0.47489454122630687,0.5685703
OYASQ1316D,0.3463,0.2802480004166723,0.44421455
YQMZV4284N,0.3424,0.44088231412329987,0.46032456
DLNBB9786K,0.3396,0.4178372160678531,0.66523826
AKCGO9726K,0.3394,0.4761599914535306,0.43710986
PAOUI8935Z,0.3394,0.7714309977726299,0.50340515
RGJWU8840Q,0.3377,0.31816130843182516,0.46242508
GWOXR9160G,0.3343,0.44093721566386446,0.3798081
UWCEW6851O,0.3341,0.2953960032989266,0.44069716
VZOCK3505U,0.3329,0.38198828373525145,0.436143
BQZGT7491V,0.3307,0.3323254295142274,0.57700294
QZMCK3259S,0.3301,0.31004113226289637,0.47307438
NGKDE7265L,0.3236,0.4171319595806336,0.39533517
TPFFP4410O,0.3226,0.24893356726264118,0.29106256
OHGIK1804X,0.3225,0.30274285220251557,0.38128325
GLRVJ5773V,0.3222,0.2647130450423318,0.35537547
HZNVT9936G,0.3206,0.03644833765710635,0.19792406
QOAPO4699N,0.3205,0.37823481532870823,0.36577904
TBZOA3799I,0.319,0.28051474181632974,0.3216771
XWUBX0795L,0.3164,0.1757832344197314,0.31863984
FYFMU3598G,0.315,-0.014018374849887567,0.033058293
JINXD0311F,0.3149,0.15690112134168008,0.3252214
UJETD9177J,0.3115,0.22365765315322392,0.18495107
AGNOF1041H,0.3088,0.05680844806079101,0.06493037
ATDID5461S,0.3084,0.16446853467114264,0.17080902
UALFR2142B,0.3058,0.22549396712354802,0.23964085
XIGJJ1201J,0.3036,0.2501899977892973,0.23824985
VKHPY9501A,0.3033,0.18258898722301864,0.16845484
ZHCLE1578P,0.3029,0.010004675796113444,0.073135555
LZGVG8257A,0.3018,0.13958091761924857,0.14825186
ROOIZ9592Y,0.2993,0.14933233562862033,0.0314495
WSNTP4114A,0.2988,0.12805087647078792,-0.15147921
DNOYM6465G,0.2965,-0.003747346024108119,0.08804872
TXYJJ1019H,0.2951,-0.11043984075782287,0.077821985
REVJR6326T,0.2937,0.06776441939895879,0.13181268
LUVFZ2751A,0.2902,0.04760208889820427,0.023443094
APXEE8191H,0.2897,0.019737310749497267,0.020617787
UMYTD3128E,0.2872,-0.020547546091719063,0.038759656
TQQYU0036V,0.2864,0.09103708529267,0.08811264
JHDQL1362V,0.2851,-0.059649317547743205,-0.007923982
QTELJ8888W,0.2839,0.0,0.0
WSFVN0229E,0.2839,0.0,0.0
EQZZZ5658G,0.2835,0.0012818861718662073,0.012780484
OFKDF3720W,0.2832,0.08215303674761253,0.03216501
NZECY6641V,0.2826,-0.08546231812466587,-0.15063357
FWHZZ0143J,0.2813,-0.02306250447949767,-0.03680659
LLPWF6176Z,0.2792,-0.056861995307144704,-0.06381872
CYVHC2532V,0.279,-0.05898138444875692,-0.022946283
PSNKC7508G,0.2781,-0.05614120866159443,-0.031768676
SJVFI6669M,0.2765,-0.017314635921473615,-0.02880376
VUHVS8909F,0.2756,-0.13223095452093986,-0.1292282
FLVXS2956M,0.275,0.00560907767334301,-0.0015350305
FCCJC8768V,0.2748,-0.07316270973883196,-0.06278325
TXHRP7672C,0.273,-0.09636790316942799,-0.13817754
HONZP0443O,0.2718,-0.18099540705038608,-0.11880197
ITFRR7678Y,0.2714,-0.14910978641203793,-0.16749315
SBRDX1922J,0.2713,-0.21178521251022067,-0.13132279
UIWEN7236N,0.2712,-0.11249705710145297,-0.09179004
CQAAX8797Z,0.2701,-0.14127640528346225,-0.18908148
HGGNH9018F,0.2701,-0.13245842482346978,-0.13052084
BXXZS5063A,0.27,-0.07442147279625713,-0.04090993
TMQMS4307W,0.2695,-0.1362906529024281,-0.124640554
KECZG3964M,0.2659,0.16001542196523258,-0.107416004
JXJYG0100P,0.2658,-0.16673512443420285,-0.17631757
GRCGI3873D,0.264,-0.4031431889016186,-0.25730532
OQYTM8444L,0.2635,-0.2980616858230899,-0.13541706
YPKYH1768F,0.2624,-0.2991306125472728,-0.28289592
IWINL6248B,0.262,-0.26099737639416754,-0.20660508
QNARI2373R,0.2602,-0.1149811165112229,-0.27056313
HREGJ0143U,0.26,-0.37119470828065826,-0.24387829
PAYNN3649Z,0.2598,0.003664737478794181,-0.15171497
WTBXP2683L,0.2578,-0.2705613071307204,-0.25981987
FPTBM7594G,0.2566,-0.21286894313807356,-0.19558336
WKDIW7014B,0.2564,-0.3734739765392412,-0.26228964
SBYTE4026H,0.2553,-0.2533905125119952,-0.3163885
JRXDG8181O,0.2521,-0.2732263938699672,-0.32542202
QOGNY5824N,0.2515,-0.4115438487155596,-0.3351937
VZZSN1825O,0.2467,-0.37478482162511717,-0.35863426
IDHVL2894N,0.2464,-0.4063617128438861,-0.356299
JADBS8258F,0.2464,-0.4693180965036543,-0.38015297
FAJKD7118X,0.2431,-0.36223749171122815,-0.29298303
LFZMO6561M,0.2406,-0.27837235042943576,-0.3090486
ISIZF6614O,0.24,-0.6304331708689122,-0.425691
DZJVD1372Z,0.2398,-0.28950406425163383,-0.34430167
XDFKW2704K,0.2391,-0.44812958365391276,-0.38980258
TFSJP6914B,0.2376,-0.3053332567052734,-0.41216278
AOBTM3098N,0.2372,-0.5065478628858682,-0.45869717
OKVRY7006H,0.2367,-0.4169688114271632,-0.37495852
NFBUF0424E,0.2364,-0.15070054635075109,-0.45185992
VVDIY0129H,0.2359,-0.6037844606366665,-0.43390673
DANAH4615Q,0.2335,-0.4452576280948701,-0.45174566
XQAGA4299B,0.2314,-0.6328269053808527,-0.50393564
SQGXB9559U,0.23,-0.46835104177731174,-0.64077824
ZRRCV7012C,0.2276,-0.5796944963035213,-0.61262083
NZNML2841Q,0.2264,-0.4141119524390751,-0.47000277
WJHSV5358P,0.2239,-0.28929779654401355,-0.39019737
RDVPJ0375X,0.2205,-0.47847188017638964,-0.32195747
BICAW1125K,0.215,-0.755394824643455,-0.43697158
ZBVSO0975W,0.2126,-0.48081165159113654,-0.586996
HYNBH3271L,0.2124,-0.6419143562209467,-0.68794763
TKRKH4920C,0.2109,-0.8174722827619547,-0.77750295
YEXCH8391J,0.2094,-0.5020198716990343,-0.44658864
BBXPQ0212O,0.2079,-0.7186377923024874,-0.68626434
IUMNL9626U,0.2058,-0.8998439527108052,-0.6383993
IYJHY1440E,0.2055,-1.117683200818445,-0.7001805
IATJE0497S,0.2034,-0.7674063214375363,-0.74003303
DQKFO8183I,0.2025,-0.48950467623167904,-0.7500077
LZAYM7611L,0.1905,-0.5924292213892701,-0.88265544
LFPMM4706C,0.1716,-1.2092135361728096,-1.0512462
HYCCK3082L,0.1641,-1.070562516265032,-0.9764005
ISXKM9668U,0.1521,-0.8711234809911838,-1.1108718
LECHF1024T,0.1478,-1.2512706032912124,-1.0223413
LGNPK4211W,0.1445,-1.2449092284542864,-1.2002776
OUXUZ1084Q,0.1295,-1.0669488822672446,-1.0103449
HZMLX7970T,0.1149,-1.2706206956650783,-1.2741812
XPABC1435F,0.101,-1.7814047882251987,-1.2783039
